abdicate$[ˈæbdɪket]
正式放弃(权力、责任)，不干了#abjure$[əbˈdʒʊr]
发誓放弃；抵制，避免#abominate$[əˈbɑːmɪneɪt]
痛恨，厌恶#absolve$[əbˈzɑlv]
使无罪，解除责任#accolade$[ˈækəled]
同意，赞赏；赞扬#acrid$[ˈækrɪd]
刻薄的#adamant$[ˈædəmənt]
固执的，不可动摇的#adhere$[ədˈhɪr]
服从，遵守#adventitious$[ˌædvɛnˈtɪʃəs]
外来的，后天的，非内在的#aggravate$[ˈæɡrəvet]
加重，恶化#aggrieve$[əˈgriːv]
使苦恼，使悲痛#agitate$[ˈædʒəˈtet]
煽动，激起；使不安#allay$[əˈle]
减轻#amenable$[əˈminəbl]
顺从的，服从的#amenity$[əˈmɛnəti]
(环境、设备等的)舒适，人性化；融洽，和谐#amicable$[ˈæmɪkəbl]
友善的#amity$[ˈæməti]
友好关系，亲善和睦#anodyne$[ˈænədaɪn]
无害的#anathema$[əˈnæθəmə]
令人讨厌的人或事#anesthetic$[ˌænəsˈθetɪk]
无感觉的，麻木的#anomalous$[əˈnɑmələs]
不普通的，不平常的#aphorism$[ˈæfərɪzəm]
格言，警句#appeal$[əˈpil]
申请；起诉#apprise$[əˈpraɪz]
通知，告知#arduous$[ˈɑrdʒuəs]
难以做到的，费劲的#anthropogenic$[ˌænθrəpəˈdʒɛnɪk]
人为的#aspirant$[əˈspaɪərənt]
有抱负者，有野心者#atone$[əˈtoʊn]
赎罪，弥补#atrocious$[əˈtroʊʃəs]
极坏的，极其残忍的#awry$[əˈraɪ]
出差错的(地)#balderdash$[ˈbɔːldərdæʃ]
胡言乱语，废话，无意义的话#beguile$[bɪˈɡaɪl]
欺骗#beleaguer$[bɪˈliːgə]
使困扰，使烦恼，使消沉#beseech$[bɪˈsiːtʃ]
(急切地)恳求#bigot$[ˈbɪɡət]
固执己见者，有偏见的人#boggle$[ˈbɑːɡl]
(因为怀疑、恐惧)犹豫#bombast$[ˈbɑːmbæst]
夸大的言辞#brash$[bræʃ]
愚勇的，鲁莽的#brisk$[brɪsk]
充满生机的，有活力的#brittle$[ˈbrɪtl]
易碎的，脆弱的，易坏的；不热心的，不真心的#bromide$[ˈbroʊmaɪd]
陈词滥调#bruit$[brut]
(未经证实地)散播(消息)#budge$[bʌdʒ]
停止抵抗，屈服#cavalier$[ˌkævəˈlɪr]
有骑士精神的人，彬彬有礼的绅士；傲慢的#callous$[ˈkæləs]
无同情心的，冷漠的#catharsis$[kəˈθɑːrsɪs]
情绪的宣泄、释放#canard$[kəˈnɑːrd]
谣传，误传#carouse$[kəˈraʊz]
畅饮，狂欢作乐#carp$[kɑrp]
对小事吹毛求疵，挑剔，表现不满#caustic$[ˈkɔːstɪk]
挖苦讽刺的，刻薄的#cavil$[ˈkævl]
挑剔，吹毛求疵#cataclysmal$cataclysmal
灾难性的#concomitant$[kənˈkɑmətənt]
伴随的，同时发生的#chaff$[tʃæf]
开玩笑#compulsive$[kəmˈpʌlsɪv]
不能自拔的#charlatan$[ˈʃɑːrlətən]
骗子，装懂的人#chary$[ˈtʃɛri]
非常谨慎的#chasm$[ˈkæzəm]
分歧，(意见、利益或忠诚上)明显差异#check$[tʃɛk]
